Tm,HR,CS,BA,OBP,GDP,SF,WR,ERR,ERA,BB,TEAM
Milwaukee Brewers 2016,1.20,0.35,0.244,0.322,0.81,0.24,0.451,0.84,4.08,3.34,Milwaukee Brewers
Minnesota Twins 2016,1.23,0.20,0.251,0.316,0.59,0.27,0.364,0.78,5.08,2.99,Minnesota Twins
New York Mets 2016,1.34,0.11,0.246,0.316,0.76,0.25,0.534,0.55,3.57,2.75,New York Mets
New York Yankees 2016,1.13,0.14,0.252,0.315,0.75,0.30,0.519,0.53,4.16,2.80,New York Yankees
Oakland Athletics 2016,1.04,0.14,0.246,0.304,0.88,0.21,0.426,0.60,4.51,2.91,Oakland Athletics
Philadelphia Phillies 2016,0.99,0.28,0.240,0.301,0.69,0.19,0.438,0.60,4.63,2.92,Philadelphia Phillies
Pittsburgh Pirates 2016,0.94,0.28,0.257,0.332,0.82,0.22,0.482,0.69,4.21,3.31,Pittsburgh Pirates
San Diego Padres 2016,1.09,0.28,0.235,0.299,0.57,0.22,0.420,0.67,4.43,3.56,San Diego Padres
Seattle Mariners 2016,1.38,0.17,0.259,0.326,0.85,0.25,0.531,0.55,4.00,2.84,Seattle Mariners
San Francisco Giants 2016,0.78,0.23,0.258,0.329,0.73,0.30,0.533,0.46,3.64,2.68,San Francisco Giants
St. Louis Cardinals 2016,1.39,0.16,0.255,0.325,0.73,0.25,0.531,0.66,4.06,2.95,St. Louis Cardinals
Tampa Bay Rays 2016,1.33,0.23,0.243,0.307,0.54,0.17,0.420,0.58,4.20,3.10,Tampa Bay Rays
Texas Rangers 2016,1.32,0.22,0.262,0.322,0.70,0.24,0.576,0.60,4.40,3.34,Texas Rangers
Toronto Blue Jays 2016,1.36,0.14,0.248,0.330,0.96,0.24,0.550,0.53,3.71,2.79,Toronto Blue Jays
Washington Nationals 2016,1.24,0.24,0.256,0.326,0.62,0.40,0.581,0.44,3.53,2.91,Washington Nationals
